At the Earth's Core	1976	UK	/wiki/At_the_Earth%27s_Core_(film)
At the Stroke of Nine	1957	UK	/wiki/At_the_Stroke_of_Nine
At the Villa Rose	1940	UK	/wiki/At_the_Villa_Rose_(1940_film)
Atlantic Ferry	1941	UK	/wiki/Atlantic_Ferry
Atonement	2007	UK	/wiki/Atonement_(film)
Attack of the Herbals	2011	UK	/wiki/Attack_of_the_Herbals
Attack on the Iron Coast	1967	UK	/wiki/Attack_on_the_Iron_Coast
Attack on the Iron Coast	1968	UK	/wiki/Attack_on_the_Iron_Coast
Attack the Block	2011	UK	/wiki/Attack_the_Block
Au Pair Girls	1972	UK	/wiki/Au_Pair_Girls
August	1996	UK	/wiki/August_(1996_film)
Auld Lang Syne	1937	UK	/wiki/Auld_Lang_Syne_(1937_film)
Aunt Clara	1954	UK	/wiki/Aunt_Clara_(film)
Aunt Sally	1933	UK	/wiki/Aunt_Sally_(film)
Austenland	2013	UK	/wiki/Austenland_(film)
Autobiography of a Princess	1975	UK	/wiki/Autobiography_of_a_Princess
Autumn Crocus	1934	UK	/wiki/Autumn_Crocus_(film)
Aventure Malgache	1944	UK	/wiki/Aventure_Malgache
Awaydays	2009	UK	/wiki/Awaydays
B. Monkey	1998	UK	/wiki/B._Monkey
Baby Love	1968	UK	/wiki/Baby_Love_(film)
Babylon	1980	UK	/wiki/Babylon_(film)
Bachelor of Hearts	1958	UK	/wiki/Bachelor_of_Hearts
Bachelor's Baby	1932	UK	/wiki/Bachelor%27s_Baby
Back in the Day	2014	UK	/wiki/Back_in_the_Day_(2014_film)
Back to the Secret Garden	2001	UK	/wiki/Back_to_the_Secret_Garden
Back-Room Boy	1942	UK	/wiki/Back-Room_Boy
Backbeat	1994	UK	/wiki/Backbeat_(film)
Background	1953	UK	/wiki/Background_(1953_film)
Bad Behaviour	1993	UK	/wiki/Bad_Behaviour_(1993_film)
Bad Blood	1982	UK	/wiki/Bad_Blood_(1982_film)
Bad Company	1946	UK	/wiki/Bad_Company_(1946_film)
Bad Company	1992	UK	/wiki/Bad_Company_(1992_film)
Bad Timing	1980	UK	/wiki/Bad_Timing
Badger's Green	1934	UK	/wiki/Badger%27s_Green_(1934_film)
Badger's Green	1949	UK	/wiki/Badger%27s_Green_(1949_film)
Bait	1950	UK	/wiki/Bait_(1950_film)
Ball at Savoy	1936	UK	/wiki/Ball_at_Savoy_(1936_film)
Baltic Storm	2003	UK	/wiki/Baltic_Storm
Banana Ridge	1942	UK	/wiki/Banana_Ridge_(film)
Band Waggon	1940	UK	/wiki/Band_Waggon_(film)
Bang! You're Dead	1954	UK	/wiki/Bang!_You%27re_Dead
Bank Holiday	1938	UK	/wiki/Bank_Holiday_(film)
Barnacle Bill	1935	UK	/wiki/Barnacle_Bill_(1935_film)
Barnacle Bill	1957	UK	/wiki/Barnacle_Bill_(1957_film)
Barry Lyndon	1975	UK	/wiki/Barry_Lyndon
Bartleby	1972	UK	/wiki/Bartleby_(1972_film)
Basement	2010	UK	/wiki/Basement_(2010_film)
Basic Instinct 2	2006	UK	/wiki/Basic_Instinct_2
Basil	1998	UK	/wiki/Basil_(film)
Battle Beneath the Earth	1967	UK	/wiki/Battle_Beneath_the_Earth
Battle of Britain	1969	UK	/wiki/Battle_of_Britain_(film)
Battle of the V-1	1958	UK	/wiki/Battle_of_the_V-1
Baxter!	1973	UK	/wiki/Baxter!
Be Like Others	2008	UK	/wiki/Be_Like_Others
Be My Guest	1965	UK	/wiki/Be_My_Guest_(film)
Bean	1997	UK	/wiki/Bean_(film)
Bear Island	1979	UK	/wiki/Bear_Island_(1979_film)
Beat Girl	1960	UK	/wiki/Beat_Girl
Beat This: A Hip-Hop History	1984	UK	/wiki/Beat_This:_A_Hip-Hop_History
Beat the Devil	1953	UK	/wiki/Beat_the_Devil_(film)
Beautiful Joe	2000	UK	/wiki/Beautiful_Joe_(film)
Beautiful People	1999	UK	/wiki/Beautiful_People_(film)
Beautiful Stranger	1954	UK	/wiki/Twist_of_Fate_(film)
Beautiful Thing	1996	UK	/wiki/Beautiful_Thing_(film)
Beauty and the Barge	1937	UK	/wiki/Beauty_and_the_Barge_(1937_film)
Becket	1964	UK	/wiki/Becket_(1964_film)
Becoming Jane	2007	UK	/wiki/Becoming_Jane
Bed and Breakfast	1938	UK	/wiki/Bed_and_Breakfast_(1938_film)
Bedazzled	1967	UK	/wiki/Bedazzled_(1967_film)
Bedelia	1946	UK	/wiki/Bedelia_(film)
Bedrooms and Hallways	1998	UK	/wiki/Bedrooms_and_Hallways
Bees in Paradise	1944	UK	/wiki/Bees_in_Paradise
Before I Disappear	2014	UK	/wiki/Before_I_Disappear
Before I Go to Sleep	2014	UK	/wiki/Before_I_Go_to_Sleep_(film)
Before I Wake	1954	UK	/wiki/Before_I_Wake_(1954_film)
Before Winter Comes	1969	UK	/wiki/Before_Winter_Comes
Before You Go	2002	UK	/wiki/Before_You_Go_(film)
Before the Rains	2007	UK	/wiki/Before_the_Rains
Beginner's Luck	2001	UK	/wiki/Beginner%27s_Luck_(2001_film)
Behemoth, the Sea Monster	1959	UK	/wiki/The_Giant_Behemoth
Behind the Headlines	1956	UK	/wiki/Behind_the_Headlines_(1956_film)
Behind the Mask	1958	UK	/wiki/Behind_the_Mask_(1958_film)
Behind the Scenes of Total Hell	2013	UK	/wiki/Behind_the_Scenes_of_Total_Hell:_The_Jamie_Gunn_Chronicles
Being Julia	2004	UK	/wiki/Being_Julia
Bel Ami	2012	UK	/wiki/Bel_Ami_(2012_film)
Believe	2013	UK	/wiki/Believe_(2013_film)
Bell-Bottom George	1944	UK	/wiki/Bell-Bottom_George
Belle	2013	UK	/wiki/Belle_(2013_film)
Bellman and True	1987	UK	/wiki/Bellman_and_True
Beloved Imposter	1936	UK	/wiki/Beloved_Imposter
Bend It Like Beckham	2002	UK	/wiki/Bend_It_Like_Beckham
Beneath a Neon Tide	2014	UK	/wiki/Beneath_a_Neon_Tide
Bent	1997	UK	/wiki/Bent_(film)
Beowulf &amp; Grendel	2005	UK	/wiki/Beowulf_%26_Grendel
Bequest to the Nation	1973	UK	/wiki/Bequest_to_the_Nation_(film)
Berberian Sound Studio	2012	UK	/wiki/Berberian_Sound_Studio
Berserk!	1967	UK	/wiki/Berserk!
Berserk!	1968	UK	/wiki/Berserk!
