Friday the Thirteenth	/wiki/Friday_the_Thirteenth_(1933_film)	1933	Victor Saville	Jessie Matthews, Sonnie Hale	Drama	NULL	UK
The Ghost Camera	/wiki/The_Ghost_Camera	1933	Bernard Vorhaus	Henry Kendall, Ida Lupino, John Mills	Mystery	NULL	UK
The Ghoul	/wiki/The_Ghoul_(1933_film)	1933	T. Hayes Hunter	Boris Karloff, Cedric Hardwicke	Horror	NULL	UK
The Girl from Maxim's	/wiki/The_Girl_from_Maxim%27s	1933	Alexander Korda	Leslie Henson, Frances Day	Musical Comedy	NULL	UK
The Good Companions	/wiki/The_Good_Companions_(1933_film)	1933	Victor Saville	Jessie Matthews, Edmund Gwenn	Musical	NULL	UK
Great Stuff	/wiki/Great_Stuff	1933	Leslie S. Hiscott	Henry Kendall, Betty Astell	Comedy	NULL	UK
Hawley's of High Street	/wiki/Hawley%27s_of_High_Street	1933	Thomas Bentley	Leslie Fuller, Judy Kelly, Francis Lister	Drama	NULL	UK
Her Imaginary Lover	/wiki/Her_Imaginary_Lover	1933	George King	Laura La Plante, Percy Marmont	Comedy	NULL	UK
High Finance	/wiki/High_Finance_(film)	1933	George King	Gibb McLaughlin, Ida Lupino	Drama	NULL	UK
The House of Trent	/wiki/The_House_of_Trent	1933	Norman Walker	Anne Grey, Wendy Barrie	Drama	NULL	UK
I Adore You	/wiki/I_Adore_You_(film)	1933	George King	Margot Grahame, Harold French	Comedy/Musical	NULL	UK
I Lived with You	/wiki/I_Lived_with_You	1933	Maurice Elvey	Ivor Novello, Ursula Jeans	Romance/Comedy	NULL	UK
I Was a Spy	/wiki/I_Was_a_Spy	1933	Victor Saville	Madeleine Carroll, Conrad Veidt	Thriller	NULL	UK
I'll Stick to You	/wiki/I%27ll_Stick_to_You	1933	Leslie Hiscott	Jay Laurier, Betty Astell	Comedy	NULL	UK
I'm an Explosive	/wiki/I%27m_an_Explosive	1933	Adrian Brunel	William Hartnell, Gladys Jennings	Comedy	NULL	UK
It's a Boy	/wiki/It%27s_a_Boy_(film)	1933	Tim Whelan	Leslie Henson, Albert Burdon	Comedy	NULL	UK
The Jewel	/wiki/The_Jewel_(1933_film)	1933	Reginald Denham	Hugh Williams, Jack Hawkins	Crime	NULL	UK
Just My Luck	/wiki/Just_My_Luck_(1933_film)	1933	Jack Raymond	Ralph Lynn, Winifred Shotter	Comedy	NULL	UK
Keep It Quiet	/wiki/Keep_It_Quiet	1933	Leslie S. Hiscott	Bertha Belmore, Davy Burnaby	Crime	NULL	UK
King of the Ritz	/wiki/King_of_the_Ritz	1933	Carmine Gallone, Herbert Smith	Stanley Lupino, Betty Stockfeld	Musical	NULL	UK
The King's Cup	/wiki/The_King%27s_Cup	1933	Alan Cobham	Robert Cullen, Harry Milton, William Kendall	Drama	NULL	UK
