The Big Stampede	/wiki/The_Big_Stampede	1932	Tenny Wright	John Wayne, Noah Beery	Western	Warner Bros.	USA
A Bill of Divorcement	/wiki/A_Bill_of_Divorcement_(1932_film)	1932	George Cukor	John Barrymore, Billie Burke, Katharine Hepburn	Drama	RKO	USA
Bird of Paradise	/wiki/Bird_of_Paradise_(1932_film)	1932	King Vidor	Dolores del Río, Joel McCrea	Romantic	RKO	USA
Blonde Venus	/wiki/Blonde_Venus	1932	Josef von Sternberg	Marlene Dietrich, Herbert Marshall, Cary Grant	Drama	Paramount	USA
Blondie of the Follies	/wiki/Blondie_of_the_Follies	1932	Edmund Goulding	Marion Davies, Robert Montgomery, Billie Dove	Comedy	MGM	USA
Broken Lullaby	/wiki/Broken_Lullaby	1932	Ernst Lubitsch	Lionel Barrymore, Nancy Carroll	Drama	Paramount	USA
The Broken Wing	/wiki/The_Broken_Wing_(1932_film)	1932	Lloyd Corrigan	Lupe Vélez, Melvyn Douglas, Leo Carrillo	Drama, Western	Paramount	USA
Business and Pleasure	/wiki/Business_and_Pleasure	1932	David Butler	Will Rogers, Joel McCrea, Dorothy Peterson	Comedy	Fox	USA
By Whose Hand?	/wiki/By_Whose_Hand%3F	1932	Benjamin Stoloff	Ben Lyon, Barbara Weeks, Tom Dugan	Comedy, Drama	NULL	USA
The Cabin in the Cotton	/wiki/The_Cabin_in_the_Cotton	1932	Michael Curtiz	Bette Davis, Richard Barthelmess, Dorothy Jordan	Drama	First National	USA
Call Her Savage	/wiki/Call_Her_Savage	1932	John Francis Dillon	Clara Bow, Thelma Todd, Gilbert Roland	Drama	Fox	USA
Central Park	/wiki/Central_Park_(film)	1932	John G. Adolfi	Joan Blondell, Wallace Ford, Guy Kibbee	Drama, Crime	First National	USA
Charlie Chan's Chance	/wiki/Charlie_Chan%27s_Chance	1932	John G. Blystone	Warner Oland, Marian Nixon, H. B. Warner	Drama, Mystery	Fox	USA
Cock of the Air	/wiki/Cock_of_the_Air	1932	Tom Buckingham	Chester Morris, Billie Dove, Walter Catlett	Comedy	United Artists	USA
The Conquerors	/wiki/The_Conquerors_(1932_film)	1932	William A. Wellman	Richard Dix, Edna May Oliver, Guy Kibbee	Drama	NULL	USA
The County Fair	/wiki/The_County_Fair_(1932_film)	1932	Louis King	Hobart Bosworth, Marion Shilling	Sports/Drama	Monogram	USA
The Crooked Circle	/wiki/The_Crooked_Circle_(1932_film)	1932	H. Bruce Humberstone	ZaSu Pitts, Ben Lyon, James Gleason	Comedy, Mystery	NULL	USA
Dancers in the Dark	/wiki/Dancers_in_the_Dark	1932	David Burton	Miriam Hopkins, George Raft	Drama	NULL	USA
The Dark Horse	/wiki/The_Dark_Horse_(1932_film)	1932	Alfred E. Green	Bette Davis, Warren William, Guy Kibbee	Comedy, Drama	Warner Bros.	USA
The Dentist	/wiki/The_Dentist_(1932_film)	1932	Leslie Pearce	W. C. Fields, Marjorie Kane	Comedy	NULL	USA
Destry Rides Again	/wiki/Destry_Rides_Again_(1932_film)	1932	Benjamin Stoloff	Tom Mix, Claudia Dell, ZaSu Pitts	Western	Universal	USA
Divorce in the Family	/wiki/Divorce_in_the_Family	1932	Charles Reisner	Jackie Cooper, Conrad Nagel, Lewis Stone	Drama, Romance	NULL	USA
Doctor X	/wiki/Doctor_X_(film)	1932	Michael Curtiz	Fay Wray, Lionel Atwill, Lee Tracy	Drama, Horror	First National	USA
Downstairs	/wiki/Downstairs_(film)	1932	Monta Bell	John Gilbert, Paul Lukas, Hedda Hopper	Drama	NULL	USA
The Drifter	/wiki/The_Drifter_(1932_film)	1932	William A. O'Connor	William Farnum, Noah Beery, Phyllis Barrington	Drama	NULL	USA
Emma	/wiki/Emma_(1932_film)	1932	Clarence Brown	Marie Dressler, Richard Cromwell, Jean Hersholt	Comedy, Drama	MGM	USA
End of the Trail	/wiki/End_of_the_Trail_(film)	1932	D. Ross Lederman	Tim McCoy, Luana Walters, Wheeler Oakman	Western, Drama	NULL	USA
Faithless	/wiki/Faithless_(1932_film)	1932	Harry Beaumont	Tallulah Bankhead, Robert Montgomery, Hugh Herbert	Drama	NULL	USA
A Farewell to Arms	/wiki/A_Farewell_to_Arms_(1932_film)	1932	Frank Borzage	Gary Cooper, Helen Hayes, Adolphe Menjou	Drama, War	Hemingway story	USA
Fast Life	/wiki/Fast_Life_(film)	1932	Harry A. Pollard	William Haines, Madge Evans, Conrad Nagel	Comedy	MGM	USA
Flowers and Trees	/wiki/Flowers_and_Trees	1932	Burt Gillett	NULL	Animation	NULL	USA
Forbidden	/wiki/Forbidden_(1932_film)	1932	Frank Capra	Barbara Stanwyck, Adolphe Menjou, Ralph Bellamy	Drama	Columbia	USA
Freaks	/wiki/Freaks	1932	Tod Browning	Wallace Ford, Leila Hyams, Olga Baclanova	Drama, Horror	NULL	USA
The Girl from Chicago	/wiki/The_Girl_from_Chicago	1932	Oscar Micheaux	Grace Smith, Carl Mahon, Juano Hernandez	Drama	NULL	USA
Gold	/wiki/Gold_(1932_film)	1932	Otto Brower	Jack Hoxie, Alice Day, Lafe McKee	Western	NULL	USA
Grand Hotel	/wiki/Grand_Hotel_(film)	1932	Edmund Goulding	Greta Garbo, John Barrymore, Joan Crawford	Drama	Oscar for Best Film	USA
Guilty as Hell	/wiki/Guilty_as_Hell	1932	Erle C. Kenton	Edmund Lowe, Victor McLaglen, Richard Arlen	Mystery, Comedy	Paramount	USA
Haunted Gold	/wiki/Haunted_Gold	1932	Mack V. Wright	John Wayne, Sheila Terry, Blue Washington	Western	Warner Bros.	USA
Hell's House	/wiki/Hell%27s_House	1932	Howard Higgin	Bette Davis, Pat O'Brien, Junior Durkin	Drama	NULL	USA
Horse Feathers	/wiki/Horse_Feathers	1932	Norman Z. MacLeod	Groucho Marx, Chico Marx, Thelma Todd	Comedy	Paramount	USA
I Am a Fugitive from a Chain Gang	/wiki/I_Am_a_Fugitive_from_a_Chain_Gang	1932	Mervyn LeRoy	Paul Muni, Glenda Farrell, Allen Jenkins	Drama	Paramount	USA
If I Had a Million	/wiki/If_I_Had_a_Million	1932	James Cruze, Ernst Lubitsch	Gary Cooper, Charles Laughton, W. C. Fields	Comedy, Drama	Warner Bros.	USA
